epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
,5e-05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,,,,,0.28125,,2.834118366241455,0.0,0.0,0.0,0.0,2.834118366241455,,,,,,,,,0.0,0.0,0.05000000074505806
,5e-05,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,19,,,,,,,,,,,,0.296875,,2.8488898277282715,0.0,0.0,0.0,0.0,2.8488898277282715,,,,,,,,,0.0,0.0,0.05000000074505806
,5e-05,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,29,,,,,,,,,,,,0.40625,,2.735293388366699,0.0,0.0,0.0,0.0,2.735293388366699,,,,,,,,,0.0,0.0,0.05000000074505806
0,,30,,,,,,,,,,,,,,,,,,,,0.6443914175033569,0.19332732260227203,2.71781325340271,0.0,0.0,0.0,0.0,2.71781325340271,,,
0,,30,,,,,,,,,,,,,0.14137941598892212,,,,,,,,,,,,,,,,,
,9.5e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,39,,,,,,,,,,,,0.421875,,2.6487691402435303,0.0,0.0,0.0,0.0,2.6487691402435303,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,9.5e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,,0.484375,,2.588620185852051,0.0,0.0,0.0,0.0,2.588620185852051,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,9.5e-05,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,59,,,,,,,,,,,,0.484375,,2.958801031112671,0.0,0.0,0.0,0.0,2.958801031112671,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
1,,61,,,,,,,,,,,,,,,,,,,,0.6587111949920654,0.18972088396549225,2.682903528213501,0.0,0.0,0.0,0.0,2.682903528213501,,,
1,,61,,,,,,,,,,,,,0.17189350724220276,,,,,,,,,,,,,,,,,
,0.00014000000000000001,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,69,,,,,,,,,,,,0.546875,,2.217444896697998,0.0,0.0,0.0,0.0,2.217444896697998,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,0.00014000000000000001,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,79,,,,,,,,,,,,0.5625,,2.546748161315918,0.0,0.0,0.0,0.0,2.546748161315918,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,0.00014000000000000001,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,89,,,,,,,,,,,,0.5625,,3.081773519515991,0.0,0.0,0.0,0.0,3.081773519515991,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
2,,92,,,,,,,,,,,,,,,,,,,,0.6658711433410645,0.186287522315979,2.6463534832000732,0.0,0.0,0.0,0.0,2.6463534832000732,,,
2,,92,,,,,,,,,,,,,0.18247780203819275,,,,,,,,,,,,,,,,,
,0.00018500000000000002,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,99,,,,,,,,,,,,0.640625,,2.69551682472229,0.0,0.0,0.0,0.0,2.69551682472229,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
,0.00018500000000000002,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,109,,,,,,,,,,,,0.5,,3.112135410308838,0.0,0.0,0.0,0.0,3.112135410308838,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
,0.00018500000000000002,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,119,,,,,,,,,,,,0.46875,,2.9720370769500732,0.0,0.0,0.0,0.0,2.9720370769500732,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
3,,123,,,,,,,,,,,,,,,,,,,,0.5322195887565613,0.23974905908107758,2.660811185836792,0.0,0.0,0.0,0.0,2.660811185836792,,,
3,,123,,,,,,,,,,,,,0.2049979418516159,,,,,,,,,,,,,,,,,
,0.00023000000000000003,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,129,,,,,,,,,,,,0.53125,,3.50022554397583,0.0,0.0,0.0,0.0,3.50022554397583,,,,,,,,,0.0,0.4000000059604645,0.25
,0.00023000000000000003,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,139,,,,,,,,,,,,0.453125,,2.9802908897399902,0.0,0.0,0.0,0.0,2.9802908897399902,,,,,,,,,0.0,0.4000000059604645,0.25
,0.00023000000000000003,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,149,,,,,,,,,,,,0.453125,,3.110783576965332,0.0,0.0,0.0,0.0,3.110783576965332,,,,,,,,,0.0,0.4000000059604645,0.25
4,,154,,,,,,,,,,,,,,,,,,,,0.6443914175033569,0.25987985730171204,2.604274272918701,0.0,0.0,0.0,0.0,2.604274272918701,,,
4,,154,,,,,,,,,,,,,0.20419079065322876,,,,,,,,,,,,,,,,,
,0.000275,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,159,,,,,,,,,,,,0.671875,,2.0888593196868896,0.0,0.0,0.0,0.0,2.0888593196868896,,,,,,,,,0.0,0.5,0.30000001192092896
,0.000275,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,169,,,,,,,,,,,,0.5,,3.1847047805786133,0.0,0.0,0.0,0.0,3.1847047805786133,,,,,,,,,0.0,0.5,0.30000001192092896
,0.000275,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,179,,,,,,,,,,,,0.609375,,2.660977840423584,0.0,0.0,0.0,0.0,2.660977840423584,,,,,,,,,0.0,0.5,0.30000001192092896
5,,185,,,,,,,,,,,,,,,,,,,,0.6467780470848083,0.2432505041360855,2.60619854927063,0.0,0.0,0.0,0.0,2.60619854927063,,,
5,,185,,,,,,,,,,,,,0.2356274574995041,,,,,,,,,,,,,,,,,
,0.00032,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,189,,,,,,,,,,,,0.640625,,2.1995584964752197,0.0,0.0,0.0,0.0,2.1995584964752197,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
,0.00032,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,199,,,,,,,,,,,,0.609375,,3.144347906112671,0.0,0.0,0.0,0.0,3.144347906112671,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
,0.00032,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,209,,,,,,,,,,,,0.53125,,2.8544673919677734,0.0,0.0,0.0,0.0,2.8544673919677734,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
6,,216,,,,,,,,,,,,,,,,,,,,0.5966587066650391,0.2553870975971222,2.6015543937683105,0.0,0.0,0.0,0.0,2.6015543937683105,,,
6,,216,,,,,,,,,,,,,0.25298479199409485,,,,,,,,,,,,,,,,,
,0.00036500000000000004,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,219,,,,,,,,,,,,0.5625,,2.784073829650879,0.0,0.0,0.0,0.0,2.784073829650879,,,,,,,,,0.0,0.699999988079071,0.4000000059604645
,0.00036500000000000004,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,229,,,,,,,,,,,,0.484375,,2.714700222015381,0.0,0.0,0.0,0.0,2.714700222015381,,,,,,,,,0.0,0.699999988079071,0.4000000059604645
,0.00036500000000000004,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,239,,,,,,,,,,,,0.515625,,2.8338677883148193,0.0,0.0,0.0,0.0,2.8338677883148193,,,,,,,,,0.0,0.699999988079071,0.4000000059604645
7,,247,,,,,,,,,,,,,,,,,,,,0.5035799741744995,0.28535881638526917,2.6261305809020996,0.0,0.0,0.0,0.0,2.6261305809020996,,,
7,,247,,,,,,,,,,,,,0.2785714864730835,,,,,,,,,,,,,,,,,
,0.00041000000000000005,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,249,,,,,,,,,,,,0.546875,,2.3217291831970215,0.0,0.0,0.0,0.0,2.3217291831970215,,,,,,,,,0.0,0.800000011920929,0.44999998807907104
,0.00041000000000000005,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,259,,,,,,,,,,,,0.609375,,3.2806057929992676,0.0,0.0,0.0,0.0,3.2806057929992676,,,,,,,,,0.0,0.800000011920929,0.44999998807907104
,0.00041000000000000005,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,269,,,,,,,,,,,,0.59375,,2.775484085083008,0.0,0.0,0.0,0.0,2.775484085083008,,,,,,,,,0.0,0.800000011920929,0.44999998807907104
8,,278,,,,,,,,,,,,,,,,,,,,0.5465393662452698,0.31079351902008057,2.634742498397827,0.0,0.0,0.0,0.0,2.634742498397827,,,
8,,278,,,,,,,,,,,,,0.2707482576370239,,,,,,,,,,,,,,,,,
,0.0004550000000000001,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,279,,,,,,,,,,,,0.515625,,2.452383279800415,0.0,0.0,0.0,0.0,2.452383279800415,,,,,,,,,0.0,0.8999999761581421,0.5
,0.0004550000000000001,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,289,,,,,,,,,,,,0.5625,,2.6650681495666504,0.0,0.0,0.0,0.0,2.6650681495666504,,,,,,,,,0.0,0.8999999761581421,0.5
,0.0004550000000000001,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,299,,,,,,,,,,,,0.578125,,2.670680046081543,0.0,0.0,0.0,0.0,2.670680046081543,,,,,,,,,0.0,0.8999999761581421,0.5
,0.0004550000000000001,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,309,,,,,,,,,,,,0.5555555820465088,,2.885512590408325,0.0,0.0,0.0,0.0,2.885512590408325,,,,,,,,,0.0,0.8999999761581421,0.5
