causal/Audio_Influence,causal/Text_Influence,causal/Video_Influence,causal/temperature,epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val/hallucination_acc,val/latent_drift_t0,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
,,,,,5e-05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,9,,,,,,,,,,,,0.296875,,3.175391435623169,0.21586981415748596,1.1421841382980347,0.0,0.0,3.164597988128662,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,19,,,,,,,,,,,,0.296875,,2.6229970455169678,0.19540227949619293,1.1443194150924683,0.0,0.0,2.613226890563965,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,29,,,,,,,,,,,,0.296875,,2.9713268280029297,0.1829720288515091,1.146244764328003,0.0,0.0,2.9621782302856445,,,,,,,,,,,0.0,0.0,0.05000000074505806
0.3418923020362854,0.3426313102245331,0.3154763877391815,,0,,30,,,,,,,,,,,,,,,,,,,,,0.2136954516172409,0.6133651733398438,0.1826048195362091,2.739084243774414,0.133783221244812,1.1425278186798096,0.0,0.0,2.7323951721191406,,,
,,,1.0,0,,30,,,,,,,,,,,,,0.1444329470396042,,,,,,,,,,,,,,,,,,,
,,,,,9.5e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,39,,,,,,,,,,,,0.5,,2.9625232219696045,0.15924833714962006,1.1396404504776,0.0,0.0,2.9545607566833496,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,49,,,,,,,,,,,,0.328125,,3.4933643341064453,0.13210012018680573,1.140527367591858,0.0,0.0,3.4867594242095947,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
