epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,train_acc,train_loss,val_acc,val_bal_acc,val_loss
,5e-05,9,,,,,,,,,,,
0,,9,,,,,,,0.65625,1.4646493196487427,,,
,5e-05,19,,,,,,,,,,,
0,,19,,,,,,,0.625,1.3489032983779907,,,
,5e-05,29,,,,,,,,,,,
0,,29,,,,,,,0.640625,1.2559877634048462,,,
0,,30,,,,,,,,,0.6682577729225159,0.18703262507915497,1.2032084465026855
,9.5e-05,39,,,,,,,,,,,
1,,39,,,,,,,0.671875,1.2464346885681152,,,
,9.5e-05,49,,,,,,,,,,,
1,,49,,,,,,,0.625,1.2208540439605713,,,
,9.5e-05,59,,,,,,,,,,,
1,,59,,,,,,,0.609375,1.2187076807022095,,,
1,,61,,,,,,,,,0.6658711433410645,0.18642164766788483,1.1543985605239868
,0.00014000000000000001,69,,,,,,,,,,,
2,,69,,,,,,,0.65625,1.1652803421020508,,,
,0.00014000000000000001,79,,,,,,,,,,,
2,,79,,,,,,,0.734375,0.9994877576828003,,,
,0.00014000000000000001,89,,,,,,,,,,,
2,,89,,,,,,,0.796875,0.9896972179412842,,,
2,,92,,,,,,,,,0.6897374987602234,0.2319030463695526,1.1305956840515137
,0.00018500000000000002,99,,,,,,,,,,,
3,,99,,,,,,,0.71875,1.0617520809173584,,,
,0.00018500000000000002,109,,,,,,,,,,,
3,,109,,,,,,,0.765625,1.0534610748291016,,,
,0.00018500000000000002,119,,,,,,,,,,,
3,,119,,,,,,,0.671875,1.1855850219726562,,,
3,,123,,,,,,,,,0.6945107579231262,0.23010040819644928,1.102757215499878
,0.00023000000000000003,129,,,,,,,,,,,
4,,129,,,,,,,0.75,0.9961944818496704,,,
,0.00023000000000000003,139,,,,,,,,,,,
4,,139,,,,,,,0.75,1.066463589668274,,,
,0.00023000000000000003,149,,,,,,,,,,,
4,,149,,,,,,,0.703125,1.0075936317443848,,,
4,,154,,,,,,,,,0.6921241283416748,0.24332238733768463,1.1028074026107788
,0.000275,159,,,,,,,,,,,
5,,159,,,,,,,0.75,1.0155154466629028,,,
,0.000275,169,,,,,,,,,,,
5,,169,,,,,,,0.84375,0.7666618824005127,,,
,0.000275,179,,,,,,,,,,,
5,,179,,,,,,,0.6875,1.009551763534546,,,
5,,185,,,,,,,,,0.6658711433410645,0.26014289259910583,1.118273377418518
,0.00032,189,,,,,,,,,,,
6,,189,,,,,,,0.75,0.9280111789703369,,,
,0.00032,199,,,,,,,,,,,
6,,199,,,,,,,0.828125,0.7853963375091553,,,
,0.00032,209,,,,,,,,,,,
6,,209,,,,,,,0.828125,0.8835848569869995,,,
6,,216,,,,,,,,,0.6443914175033569,0.2977895140647888,1.1969677209854126
,0.00036500000000000004,219,,,,,,,,,,,
7,,219,,,,,,,0.828125,0.8229078054428101,,,
,0.00036500000000000004,229,,,,,,,,,,,
7,,229,,,,,,,0.875,0.6755572557449341,,,
,0.00036500000000000004,239,,,,,,,,,,,
7,,239,,,,,,,0.8125,0.8514940738677979,,,
7,,247,,,,,,,,,0.6730310320854187,0.308851033449173,1.2153629064559937
,0.00041000000000000005,249,,,,,,,,,,,
8,,249,,,,,,,0.921875,0.612349808216095,,,
,0.00041000000000000005,259,,,,,,,,,,,
8,,259,,,,,,,0.890625,0.6567230224609375,,,
,0.00041000000000000005,269,,,,,,,,,,,
8,,269,,,,,,,0.921875,0.56788170337677,,,
8,,278,,,,,,,,,0.663484513759613,0.28091609477996826,1.3190817832946777
,0.0004550000000000001,279,,,,,,,,,,,
9,,279,,,,,,,0.9375,0.5967235565185547,,,
,0.0004550000000000001,289,,,,,,,,,,,
9,,289,,,,,,,0.9375,0.592556357383728,,,
,0.0004550000000000001,299,,,,,,,,,,,
