causal/Audio_Influence,causal/Text_Influence,causal/Video_Influence,causal/temperature,epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val/hallucination_acc,val/latent_drift_t0,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
,,,,,5e-05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,9,,,,,,,,,,,,0.203125,,3.1421637535095215,0.20942756533622742,1.1510484218597412,0.4823843538761139,0.0,3.131692409515381,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,19,,,,,,,,,,,,0.234375,,2.7782669067382812,0.1862422674894333,1.1561840772628784,0.5090665817260742,0.0,2.7689547538757324,,,,,,,,,,,0.0,0.0,0.05000000074505806
,,,,,5e-05,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,29,,,,,,,,,,,,0.390625,,3.0736918449401855,0.17072530090808868,1.155228614807129,0.5374259352684021,0.0,3.065155506134033,,,,,,,,,,,0.0,0.0,0.05000000074505806
0.33043137192726135,0.34536585211753845,0.3242028057575226,,0,,30,,,,,,,,,,,,,,,,,,,,,0.22186248004436493,0.6682577729225159,0.18703262507915497,2.738524913787842,0.11502594500780106,1.143987774848938,0.5940502285957336,0.0,2.732773542404175,,,
,,,1.0,0,,30,,,,,,,,,,,,,0.1436632126569748,,,,,,,,,,,,,,,,,,,
,,,,,9.5e-05,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,39,,,,,,,,,,,,0.375,,3.069643974304199,0.14198905229568481,1.153517484664917,0.5711820125579834,0.0,3.0054264068603516,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,49,,,,,,,,,,,,0.34375,,3.6201634407043457,0.11299732327461243,1.153451681137085,0.5685361623764038,0.0,3.5576601028442383,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
,,,,,9.5e-05,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,59,,,,,,,,,,,,0.359375,,2.9332571029663086,0.09556840360164642,1.1506398916244507,0.5489293336868286,0.0,2.8735857009887695,,,,,,,,,,,0.0,0.10000000149011612,0.10000000149011612
0.3409566581249237,0.33976373076438904,0.31927961111068726,,1,,61,,,,,,,,,,,,,,,,,,,,,0.23297420144081116,0.6682577729225159,0.18703262507915497,2.743873357772827,0.040582407265901566,1.1442018747329712,0.6027947664260864,0.0,2.6815648078918457,,,
,,,0.949999988079071,1,,61,,,,,,,,,,,,,0.16315007209777832,,,,,,,,,,,,,,,,,,,
,,,,,0.00014000000000000001,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,69,,,,,,,,,,,,0.484375,,2.6817235946655273,0.07111749053001404,1.1528770923614502,0.5198448300361633,0.0,2.5741989612579346,,,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,,,,,0.00014000000000000001,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,79,,,,,,,,,,,,0.515625,,2.6107113361358643,0.053651876747608185,1.1513404846191406,0.4801313579082489,0.0,2.512002468109131,,,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
,,,,,0.00014000000000000001,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,,89,,,,,,,,,,,,0.453125,,2.466411828994751,0.04193887859582901,1.1503582000732422,0.40410953760147095,0.0,2.383492946624756,,,,,,,,,,,0.0,0.20000000298023224,0.15000000596046448
0.2980707287788391,0.3042141795158386,0.39771509170532227,,2,,92,,,,,,,,,,,,,,,,,,,,,0.1917240470647812,0.6682577729225159,0.18703262507915497,2.7372617721557617,0.012911438010632992,1.1402251720428467,0.3674401342868805,0.0,2.663128137588501,,,
,,,0.8999999761581421,2,,92,,,,,,,,,,,,,0.18066348135471344,,,,,,,,,,,,,,,,,,,
,,,,,0.00018500000000000002,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,99,,,,,,,,,,,,0.40625,,2.9442992210388184,0.02934168465435505,1.1485363245010376,0.3577527105808258,0.0,2.8355064392089844,,,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
,,,,,0.00018500000000000002,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,109,,,,,,,,,,,,0.5625,,2.612136125564575,0.022031139582395554,1.1488862037658691,0.30279842019081116,0.0,2.5201950073242188,,,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
,,,,,0.00018500000000000002,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,119,,,,,,,,,,,,0.578125,,2.7037200927734375,0.015839077532291412,1.1499688625335693,0.24107758700847626,0.0,2.6306047439575195,,,,,,,,,,,0.0,0.30000001192092896,0.20000000298023224
0.30877888202667236,0.29230785369873047,0.39891326427459717,,3,,123,,,,,,,,,,,,,,,,,,,,,0.1667395681142807,0.6682577729225159,0.1908881813287735,2.7245240211486816,0.004767997190356255,1.135968804359436,0.18988589942455292,0.0,2.6673195362091064,,,
,,,0.8500000238418579,3,,123,,,,,,,,,,,,,0.19705061614513397,,,,,,,,,,,,,,,,,,,
,,,,,0.00023000000000000003,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,129,,,,,,,,,,,,0.546875,,2.5388436317443848,0.011602814309298992,1.1521815061569214,0.21397924423217773,0.0,2.452671766281128,,,,,,,,,,,0.0,0.4000000059604645,0.25
,,,,,0.00023000000000000003,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,139,,,,,,,,,,,,0.484375,,2.63460373878479,0.008385444059967995,1.1464415788650513,0.15171292424201965,0.0,2.5734992027282715,,,,,,,,,,,0.0,0.4000000059604645,0.25
,,,,,0.00023000000000000003,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,149,,,,,,,,,,,,0.53125,,2.9471731185913086,0.0067480443976819515,1.146710991859436,0.1373453438282013,0.0,2.891897678375244,,,,,,,,,,,0.0,0.4000000059604645,0.25
0.18236547708511353,0.18882684409618378,0.6288076043128967,,4,,154,,,,,,,,,,,,,,,,,,,,,0.1510905772447586,0.6372315287590027,0.24198396503925323,2.7176353931427,0.002280326560139656,1.1374762058258057,0.10364996641874313,0.0,2.676060914993286,,,
,,,0.800000011920929,4,,154,,,,,,,,,,,,,0.1899917870759964,,,,,,,,,,,,,,,,,,,
,,,,,0.000275,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,159,,,,,,,,,,,,0.515625,,2.2236993312835693,0.005979268811643124,1.1496810913085938,0.11625603586435318,0.0,2.1652722358703613,,,,,,,,,,,0.0,0.5,0.30000001192092896
,,,,,0.000275,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,169,,,,,,,,,,,,0.53125,,2.8701729774475098,0.005866586230695248,1.1522189378738403,0.09952118992805481,0.0,2.8201191425323486,,,,,,,,,,,0.0,0.5,0.30000001192092896
,,,,,0.000275,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,,179,,,,,,,,,,,,0.453125,,3.4337527751922607,0.005767909809947014,1.15012526512146,0.07589427381753922,0.0,3.395517110824585,,,,,,,,,,,0.0,0.5,0.30000001192092896
0.07587260007858276,0.08211079239845276,0.8420165181159973,,5,,185,,,,,,,,,,,,,,,,,,,,,0.13885827362537384,0.6181384325027466,0.24815760552883148,2.66355562210083,0.003064710646867752,1.1373515129089355,0.06806939095258713,0.0,2.6293678283691406,,,
,,,0.75,5,,185,,,,,,,,,,,,,0.19765110313892365,,,,,,,,,,,,,,,,,,,
,,,,,0.00032,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,189,,,,,,,,,,,,0.46875,,3.355604410171509,0.0050704600289464,1.1498907804489136,0.08231938630342484,0.0,3.3059592247009277,,,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
,,,,,0.00032,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,199,,,,,,,,,,,,0.609375,,2.850558042526245,0.0036817172076553106,1.1455549001693726,0.06578230112791061,0.0,2.8109045028686523,,,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
,,,,,0.00032,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,209,,,,,,,,,,,,0.5,,2.5222110748291016,0.003369714831933379,1.1482688188552856,0.056305255740880966,0.0,2.4882593154907227,,,,,,,,,,,0.0,0.6000000238418579,0.3499999940395355
0.23731467127799988,0.19116473197937012,0.5715204477310181,,6,,216,,,,,,,,,,,,,,,,,,,,,0.13227953016757965,0.6730310320854187,0.22851860523223877,2.635559558868408,0.0006431644433178008,1.1337738037109375,0.0481393076479435,0.0,2.6066434383392334,,,
,,,0.699999988079071,6,,216,,,,,,,,,,,,,0.22044497728347778,,,,,,,,,,,,,,,,,,,
,,,,,0.00036500000000000004,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,,219,,,,,,,,,,,,0.671875,,2.7485601902008057,0.0015838573453947902,1.1476097106933594,0.05587776377797127,0.0,2.7093665599823,,,,,,,,,,,0.0,0.699999988079071,0.4000000059604645
