epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,train_acc,train_loss,val_acc,val_bal_acc,val_loss
,5e-05,9,,,,,,,,,,,
0,,9,,,,,,,0.40625,1.7124608755111694,,,
,5e-05,19,,,,,,,,,,,
0,,19,,,,,,,0.5625,1.6422888040542603,,,
,5e-05,29,,,,,,,,,,,
0,,29,,,,,,,0.625,1.5955015420913696,,,
0,,30,,,,,,,,,0.663484513759613,0.19270655512809753,1.5596884489059448
,9.5e-05,39,,,,,,,,,,,
1,,39,,,,,,,0.546875,1.5740694999694824,,,
,9.5e-05,49,,,,,,,,,,,
1,,49,,,,,,,0.703125,1.3664435148239136,,,
,9.5e-05,59,,,,,,,,,,,
1,,59,,,,,,,0.609375,1.401764154434204,,,
1,,61,,,,,,,,,0.6682577729225159,0.18703262507915497,1.3100506067276
,0.00014000000000000001,69,,,,,,,,,,,
2,,69,,,,,,,0.609375,1.3496625423431396,,,
,0.00014000000000000001,79,,,,,,,,,,,
2,,79,,,,,,,0.75,1.1048272848129272,,,
,0.00014000000000000001,89,,,,,,,,,,,
2,,89,,,,,,,0.609375,1.2628121376037598,,,
2,,92,,,,,,,,,0.6682577729225159,0.18703262507915497,1.1763341426849365
,0.00018500000000000002,99,,,,,,,,,,,
3,,99,,,,,,,0.703125,1.1788758039474487,,,
,0.00018500000000000002,109,,,,,,,,,,,
3,,109,,,,,,,0.625,1.2863341569900513,,,
,0.00018500000000000002,119,,,,,,,,,,,
3,,119,,,,,,,0.703125,1.063413381576538,,,
3,,123,,,,,,,,,0.6754176616668701,0.19601713120937347,1.1394116878509521
,0.00023000000000000003,129,,,,,,,,,,,
4,,129,,,,,,,0.5625,1.2612056732177734,,,
,0.00023000000000000003,139,,,,,,,,,,,
4,,139,,,,,,,0.65625,1.218741536140442,,,
,0.00023000000000000003,149,,,,,,,,,,,
4,,149,,,,,,,0.71875,1.0856130123138428,,,
4,,154,,,,,,,,,0.699284017086029,0.22708827257156372,1.1238057613372803
,0.000275,159,,,,,,,,,,,
5,,159,,,,,,,0.5625,1.3798919916152954,,,
,0.000275,169,,,,,,,,,,,
5,,169,,,,,,,0.71875,1.106215238571167,,,
,0.000275,179,,,,,,,,,,,
5,,179,,,,,,,0.734375,1.0467851161956787,,,
5,,185,,,,,,,,,0.680190920829773,0.2229076623916626,1.1161329746246338
,0.00032,189,,,,,,,,,,,
6,,189,,,,,,,0.671875,1.0040326118469238,,,
,0.00032,199,,,,,,,,,,,
6,,199,,,,,,,0.703125,1.1447453498840332,,,
,0.00032,209,,,,,,,,,,,
6,,209,,,,,,,0.71875,1.0344198942184448,,,
6,,216,,,,,,,,,0.6754176616668701,0.23833441734313965,1.1305173635482788
,0.00036500000000000004,219,,,,,,,,,,,
7,,219,,,,,,,0.703125,1.057077169418335,,,
,0.00036500000000000004,229,,,,,,,,,,,
7,,229,,,,,,,0.671875,1.1301114559173584,,,
,0.00036500000000000004,239,,,,,,,,,,,
7,,239,,,,,,,0.703125,0.9805448055267334,,,
7,,247,,,,,,,,,0.6706444025039673,0.2383086234331131,1.1369152069091797
,0.00041000000000000005,249,,,,,,,,,,,
8,,249,,,,,,,0.703125,1.0788674354553223,,,
,0.00041000000000000005,259,,,,,,,,,,,
8,,259,,,,,,,0.765625,0.9820907115936279,,,
,0.00041000000000000005,269,,,,,,,,,,,
8,,269,,,,,,,0.75,1.001330018043518,,,
8,,278,,,,,,,,,0.6706444025039673,0.2318536639213562,1.13401198387146
,0.0004550000000000001,279,,,,,,,,,,,
9,,279,,,,,,,0.625,1.063469409942627,,,
,0.0004550000000000001,289,,,,,,,,,,,
9,,289,,,,,,,0.765625,0.980410099029541,,,
,0.0004550000000000001,299,,,,,,,,,,,
9,,299,,,,,,,0.78125,1.003261685371399,,,
,0.0004550000000000001,309,,,,,,,,,,,
9,,309,,,,,,,0.7777777910232544,0.8788653612136841,,,
9,,309,,,,,,,,,0.663484513759613,0.2401740550994873,1.152712106704712
,0.0005,319,,,,,,,,,,,
10,,319,,,,,,,0.796875,0.9428187608718872,,,
,0.0005,329,,,,,,,,,,,
10,,329,,,,,,,0.640625,1.1108529567718506,,,
,0.0005,339,,,,,,,,,,,
10,,339,,,,,,,0.734375,0.9661322832107544,,,
